lga_name, adm_canc_all_1_count, lga_code, ste_name, adm_dig_all_2_asr, adm_canc_all_2_asr, adm_ment_all_1_count, adm_dig_all_1_count, adm_ment_all_2_asr
"Alpine (S)",400,20110,"vic",3564.7,2387.2,null,505,null
"Ararat (RC)",356,20260,"vic",4368.3,2328.2,null,573,null
"Ballarat (C)",2579,20570,"vic",4272.6,2618.3,730,4143,769.8
"Banyule (C)",4430,20660,"vic",5452.5,3392.4,1353,6864,1088.7
"Bass Coast (S)",1317,20740,"vic",3911.9,3062.7,363,1401,1153.0
"Baw Baw (S)",1355,20830,"vic",3011.4,2661.9,457,1419,1043.4
"Bayside (C)",4197,20910,"vic",5167.1,3764.3,1476,5273,1541.9
"Benalla (RC)",696,21010,"vic",4485.4,3717.1,null,710,null
"Boroondara (C)",5604,21110,"vic",4841.6,3282.4,3132,8207,1852.3
"Brimbank (C)",3710,21180,"vic",4111.9,2109.2,1809,7702,933.1
"Buloke (S)",224,21270,"vic",4224.1,2399.2,null,321,null
"Campaspe (S)",1551,21370,"vic",4605.9,3377.8,350,1871,954.2
"Cardinia (S)",1927,21450,"vic",4544.6,2806.7,1158,3396,1510.4
"Casey (C)",5296,21610,"vic",4611.6,2496.6,4073,11218,1576.8
"Central Goldfields (S)",475,21670,"vic",4223.4,2537.9,null,640,null
"Colac-Otway (S)",718,21750,"vic",4403.5,2817.6,145,1002,694.4
"Corangamite (S)",576,21830,"vic",4224.2,2779.9,null,770,null
"Darebin (C)",3905,21890,"vic",4072.3,2790.9,1773,5756,1185.1
"East Gippsland (S)",1511,22110,"vic",3784.9,2422.5,415,1942,949.0
"Frankston (C)",3747,22170,"vic",4906.4,2898.5,2644,6393,2017.6
"Gannawarra (S)",363,22250,"vic",4224.2,2399.3,null,522,null
"Glenelg (S)",602,22410,"vic",4619.4,2468.0,170,1011,846.0
"Golden Plains (S)",637,22490,"vic",5205.1,3251.0,154,1027,807.7
"Greater Bendigo (C)",3222,22620,"vic",4455.7,2897.9,1127,4738,1105.8
"Greater Dandenong (C)",2962,22670,"vic",4261.2,2091.6,2864,6149,1936.5
"Greater Geelong (C)",6449,22750,"vic",4407.2,2641.7,2221,10079,1012.7
"Greater Shepparton (C)",1784,22830,"vic",4190.8,2736.0,532,2651,869.8
"Hepburn (S)",430,22910,"vic",4285.9,2232.3,120,717,805.1
"Hindmarsh (S)",253,22980,"vic",4224.6,2976.1,null,293,null
"Hobsons Bay (C)",2233,23110,"vic",4412.2,2558.2,750,3887,826.7
"Horsham (RC)",603,23190,"vic",4582.6,2641.5,107,955,547.2
"Hume (C)",3848,23270,"vic",4460.7,2707.3,1620,7254,944.6
"Indigo (S)",634,23350,"vic",4103.0,3343.8,142,699,915.4
"Kingston (C)",4617,23430,"vic",4777.6,2869.8,2701,7360,1766.9
"Knox (C)",4642,23670,"vic",5164.3,3055.1,2967,7969,1917.4
"Latrobe (C)",1653,23810,"vic",4064.4,2056.1,956,3111,1309.4
"Loddon (S)",323,23940,"vic",4075.0,2787.3,null,380,null
"Macedon Ranges (S)",1193,24130,"vic",4638.0,2618.1,328,2065,772.2
"Glen Eira (C)",4651,22310,"vic",4437.7,3327.4,2242,6137,1589.6
"Manningham (C)",3853,24210,"vic",4656.5,2706.3,1527,5951,1280.6
"Mansfield (S)",235,24250,"vic",4099.5,2285.4,87,374,1073.2
"Maribyrnong (C)",1280,24330,"vic",3510.6,2063.0,716,2506,880.1
"Maroondah (C)",3234,24410,"vic",4825.4,2963.2,2103,5207,1946.9
"Melbourne (C)",1646,24600,"vic",3058.1,2460.3,1004,2918,838.9
"Melton (S)",2049,24650,"vic",4695.0,2506.3,932,4765,830.2
"Mildura (RC)",1406,24780,"vic",4409.1,2453.1,566,2379,1109.4
"Mitchell (S)",1121,24850,"vic",4486.4,3040.0,258,1644,722.7
"Moira (S)",1164,24900,"vic",4192.8,3004.5,235,1374,813.8
"Monash (C)",5171,24970,"vic",4410.5,2641.2,3207,8288,1719.5
"Moonee Valley (C)",3202,25060,"vic",4628.5,2724.8,1237,5300,1070.0
"Moorabool (S)",807,25150,"vic",4791.9,2724.6,202,1422,699.5
"Moreland (C)",3869,25250,"vic",4189.4,2583.0,1743,6390,1067.6
"Mornington Peninsula (S)",6459,25340,"vic",4842.4,3286.6,2002,8156,1327.3
"Mount Alexander (S)",617,25430,"vic",4324.8,2509.3,263,908,1412.7
"Moyne (S)",512,25490,"vic",3780.3,2780.9,null,646,null
"Murrindindi (S)",542,25620,"vic",5033.8,3279.6,111,751,807.6
"Nillumbik (S)",1457,25710,"vic",4254.1,2551.2,444,2604,726.2
"Northern Grampians (S)",358,25810,"vic",4407.0,2281.7,89,603,721.1
"Port Phillip (C)",2406,25900,"vic",3965.8,2825.9,1567,3788,1407.8
"Pyrenees (S)",258,25990,"vic",4337.2,2607.6,null,357,null
"Queenscliffe (B)",117,26080,"vic",4542.9,3058.5,32,154,1055.9
"South Gippsland (S)",971,26170,"vic",3148.4,2697.0,292,984,1049.2
"Southern Grampians (S)",435,26260,"vic",4258.3,2109.6,null,770,null
"Stonnington (C)",2897,26350,"vic",4164.8,2946.1,1740,4174,1627.9
"Strathbogie (S)",493,26430,"vic",4884.1,3317.0,87,585,852.4
"Surf Coast (S)",789,26490,"vic",3832.2,2746.4,146,1074,538.8
"Swan Hill (RC)",589,26610,"vic",4241.6,2521.9,null,931,null
"Towong (S)",223,26670,"vic",3642.9,2677.6,null,256,null
"Wangaratta (RC)",915,26700,"vic",4368.3,2729.4,233,1295,862.9
"Warrnambool (C)",1268,26730,"vic",4226.5,3629.9,289,1419,891.5
"Wellington (S)",1100,26810,"vic",4391.8,2217.2,422,2006,992.3
"West Wimmera (S)",185,26890,"vic",4223.4,2975.7,null,214,null
"Whitehorse (C)",5042,26980,"vic",4363.4,2926.3,4003,7133,2484.1
"Whittlesea (C)",3577,27070,"vic",4166.8,2489.2,1294,6612,771.2
"Wodonga (RC)",1132,27170,"vic",4779.4,3367.7,301,1689,846.8
"Wyndham (C)",2914,27260,"vic",4490.3,2391.0,1070,6896,617.8
"Yarra (C)",1685,27350,"vic",3854.4,2576.5,964,2896,1093.8
"Yarra Ranges (S)",4109,27450,"vic",4929.3,2782.1,1937,7353,1317.4
"Yarriambiack (S)",308,27630,"vic",4221.5,2973.2,null,357,null
"Unincorporated Vic",null,29399,"vic",null,null,null,null,null
