lga_name, adm_canc_all_1_count, lga_code, ste_name, adm_dig_all_2_asr, adm_canc_all_2_asr, adm_ment_all_1_count, adm_dig_all_1_count, adm_ment_all_2_asr
"Albury (C)",1333,10050,"nsw",3330.8,2556.4,731,1677,1503.2
"Armidale Dumaresq (A)",508,10110,"nsw",4229.4,2062.1,272,1053,1124.6
"Ashfield (A)",727,10150,"nsw",3127.0,1737.3,1257,1337,2755.6
"Auburn (C)",1039,10200,"nsw",3457.2,1685.4,1258,2549,1527.9
"Ballina (A)",1413,10250,"nsw",4924.2,2632.6,580,2269,1404.5
"Balranald (A)",65,10300,"nsw",3535.1,2261.2,null,92,null
"Bankstown (C)",3807,10350,"nsw",3393.2,2049.1,2599,6394,1380.6
"Bathurst Regional (A)",998,10470,"nsw",3690.2,2499.3,548,1492,1383.8
"Bega Valley (A)",1075,10550,"nsw",3706.4,2307.9,445,1447,1323.7
"Bellingen (A)",357,10600,"nsw",4405.0,2159.6,144,632,1145.0
"Berrigan (A)",380,10650,"nsw",4586.1,3112.2,179,457,2101.3
"Blacktown (C)",4781,10750,"nsw",3516.9,1924.6,4937,10061,1628.8
"Bland (A)",167,10800,"nsw",3969.4,2054.1,100,275,1639.4
"Blayney (A)",204,10850,"nsw",4193.1,2476.9,111,320,1568.2
"Blue Mountains (C)",1828,10900,"nsw",3468.7,2080.9,1638,2862,2114.2
"Bogan (A)",57,10950,"nsw",3833.0,1730.2,null,121,null
"Bombala (A)",59,11000,"nsw",4687.6,1794.1,null,132,null
"Boorowa (A)",77,11050,"nsw",4555.1,2553.5,null,123,null
"Botany Bay (C)",1014,11100,"nsw",3698.6,2448.4,829,1552,1918.5
"Bourke (A)",null,11150,"nsw",4394.3,null,null,141,null
"Brewarrina (A)",null,11200,"nsw",null,null,null,null,null
"Broken Hill (C)",673,11250,"nsw",3999.6,2891.7,216,836,1118.7
"Clarence Valley (A)",2004,11730,"nsw",4215.9,2885.5,604,2483,1175.1
"Burwood (A)",555,11300,"nsw",3051.1,1626.8,633,1056,1762.1
"Byron (A)",957,11350,"nsw",4180.8,2776.6,600,1369,1920.5
"Cabonne (A)",296,11400,"nsw",4088.1,2113.6,195,555,1501.4
"Camden (A)",1166,11450,"nsw",4346.3,2358.7,886,2408,1532.6
"Campbelltown (C)",2628,11500,"nsw",3795.7,2059.7,2325,5389,1591.2
"Canada Bay (A)",1551,11520,"nsw",3622.4,1899.2,2122,2962,2502.2
"Canterbury (C)",2409,11550,"nsw",3339.0,1690.5,2214,4814,1508.4
"Carrathool (A)",60,11600,"nsw",4361.0,2166.4,null,120,null
"Central Darling (A)",73,11700,"nsw",3999.6,2891.7,null,90,null
"Cessnock (C)",1437,11720,"nsw",3573.3,2647.9,606,1921,1157.9
"Cobar (A)",93,11750,"nsw",3832.8,1730.3,null,197,null
"Coffs Harbour (C)",1688,11800,"nsw",4127.9,1983.0,998,3165,1419.2
"Conargo (A)",59,11860,"nsw",4196.2,2606.8,null,79,null
"Coolamon (A)",126,12000,"nsw",5135.4,2666.4,null,231,null
"Cooma-Monaro (A)",187,12050,"nsw",3333.1,1593.9,108,365,1035.8
